Nom_Commercial,DCI,Dosage,Prix_DZD
EPOTIN,EPOETINE ALPHA** (ERYTHROPOIETINE HUMAINE RECOMBINANTE),"2000UI/ML (SOIT
16,8µG//FL DE
1ML)",0.0
TIMOFEROL,"FER FERREUX (SOUS FORME DE SULFATE) /
ACIDE ASCORBIQUE",50MG/30MG,0.0
HEMAX,EPOETINE ALPHA** (ERYTHROPOIETINE HUMAINE RECOMBINANTE),2000UI/FL. DE PDRE. (OU 2000UI/2ML),0.0
ZANITRA PLUS,SULFATE FERREUX EXPRIME EN FER FERREUX / ACIDE FOLIQUE,"49,297MG/0,50M G",0.0
FERRO SANOL,FER FERREUX (II)  (SOUS FORME DE COMPLEXE GLYCINE SULFATE FERREUX),30MG/ML FER II (170MG/ML COMPLEXE GLYCINE SULFATE FERREUX),0.0
TARDYFERON,FER FERREUX (DCI) (SOUS FORME DE SULFATE FERREUX),80MG,0.0
EPREX,EPOETINE ALFA OU (ERYTHROPOIETINE HUMAINE RECOMBINANTE),"40 000UI/ML  (
OU 20 000UI/0,5ML)",0.0
INOFER,FER FERREUX / ACIDE SUCCINIQUE  (SOUS FORME DE SUCCINATE FERREUX / ACIDE SUCCINIQUE),"32,48MG FER FERREUX / 100MG",0.0
SELOFER FOL,FER FERRIQUE** (SOUS FORME DE COMPLEXE D'HDROXYDE FERRIQUE POLYMALTOSE) / ACIDE FOLIQUE,"100MG** /
0,35MG",0.0
NOVO FER PLUS,COMPLEXE HYDROXYDE FERRIQUE POLYMALTOSE EXPRIME EN FER FERRIQUE / ACIDE FOLIQUE,"100MG/0,35MG",0.0
TRIFER FOL,COMPLEXE HYDROXYDE FERRIQUE POLYMALTOSE EXPRIME EN FER FERRIQUE / ACIDE FOLIQUE,"100MG/0,35MG",0.0
FERRUM HAUSMANN GOUTTES,COMPLEXE HYDROXYDE FERRIQUE POLYMALTOSE EXPRIME EN FER FERRIQUE,50MG/ML (200MG/ML),0.0
ENCIFER,"COMPLEXE D'HYDROXIDE FERRIQUE-SACCHAROSE EXPRIME
EN FER FERRIQUE",20MG/ML (100MG/5ML),0.0
FER RAZES,COMPLEXE HYDROXYDE FERRIQUE-SACCHAROSE EXPRIME EN FER FERRIQUE,100MG/5ML,0.0
FEROMAX,"COMPLEXE
D'HYDROXIDE FERRIQUE-","20MG/ML
(100MG/5ML)",0.0
FERSUCAL,"FER FERRIQUE SOUS
FORME DE COMPLEXE D'HYDROXIDE FERRIQUE-SACCHAROSE EXPRIME","20MG/ML (OU
100MG/5ML) DE FER FERRIQUE",0.0
VENOFER,"COMPLEXE D'HYDROXIDE FERRIQUE-SACCHAROSE EXPRIME
EN FER FERRIQUE",20MG/ML (100MG/5ML),0.0
TOT'HEMA,"FER** (SOUS FORME DE GLUCONATE) / MANGANESE** (SOUS FORME DE GLUCONATE)
/ CUIVRE**(SOUS FORME DE GLUCONATE)","50MG/1,33MG/0,
70MG/10ML**",0.0
VITAMINE B12 RAZES,CYANOCOBALAMINE (OU VIT.B12),"500 µG/ML (OU
1000µG/2ML)",0.0
CYANOCOBAL,CYANOCOBALAMINE (OU VIT.B12),"500 µG/ML (OU
1000µG/2ML)",0.0
RECORMON,EPOETINE BETA (OU ERYTHROPOIETINE HUMAINE RECOMBINANTE),"30 000UI/0,6ML",0.0
SELOFER-100,"FER FERRIQUE** (SOUS FORME DE COMPLEXE D'HYDROXYDE FERRIQUE
POLYMALTOSE)","100MG** (750MG D'HYDROXYDE FERRIQUE
POLYMALTOSE)",0.0
NOVO FER,FER FERRIQUE** (SOUS FORME DE COMPLEXE D'HYDROXYDE FERRIQUE POLYMALTOSE),100MG,0.0
BC FER,FER FERREUX SOUS FORME DE SULFATE FERREUX ANHYDRE EXPRIME EN FER FERREUX / ACIDE ASCORBIQUE / ACIDE FOLIQUE,"55,14MG** FER FERREUX / 75MG
/ 1,5MG",0.0
SELOFER-100,"HYDROXYDE FERRIQUE
POLYMALTOSE EXPRIME","20MG/ML
(100MG/5ML)",0.0
OROFER PLUS,"HYDROXYDE FERRIQUE
POLYMALTOSE EXPRIME","20MG/ML
(100MG/5ML)",0.0
FER3+,HYDROXYDE FERRIQUE POLYMALTOSE EXPRIME EN FER FERRIQUE,20MG/ML (100MG/5ML),0.0
HEMAX,EPOETINE ALPHA** (ERYTHROPOIETINE HUMAINE RECOMBINANTE),1000UI/FL. DE PDRE. (OU 1000UI/ML),0.0
ACTILYSE,ALTEPLASE,20MG,0.0
ACTILYSE,ALTEPLASE,50MG,0.0
METALYSE,Ténectéplase,"1000 U/ML OU
5MG/ML (10
000U/10ML OU",0.0
ELAXIM,Ténectéplase GENNOVA,"1000 U/ML OU
5MG/ML (10
000U/10ML OU
50MG/10ML)",0.0
TROMBIX,RIVAROXABAN,10MG,0.0
XARELTO,RIVAROXABAN,10MG,0.0
RYVOL,RIVAROXABAN,15MG,0.0
XARELTO,RIVAROXABAN,15MG,0.0
TROMBIX,RIVAROXABAN,15MG,0.0
XARELTO,RIVAROXABAN,20MG,0.0
TROMBIX,RIVAROXABAN,20MG,0.0
PRADAXA,DABIGATRAN ETEXILATE MESILATE,75 MG,0.0
PRADAXA,"DABIGATRAN ETEXILATE
MESILATE",110 MG,0.0
PRADAXA,"DABIGATRAN ETEXILATE
MESILATE",150 MG,0.0
DICYNONE,ETAMSYLATE,250MG,0.0
HEMOSYLAT,ETAMSYLATE,250MG,0.0
NOVASMIL,ETAMSYLATE,250MG,0.0
DICYNONE,ETAMSYLATE,250MG,0.0
HUMAN ALBUMIN BAXTER,ALBUMINE HUMAINE,"20% (OU
0,2G/ML)",0.0
ALBUMINE HUMAINE 20% BIOTEST,ALBUMINE HUMAINE,20%,0.0
VIALEBEX,ALBUMINE HUMAINE,200MG/ML ( 20%),0.0
ADVATE,OCTOCOG ALFA (FACTEUR VIII DE COAGULATION HUMAIN RECOMBINANT ANTI-HEMOPHILIQUE),500UI/FL DE PDRE (50UI/ML),0.0
IMMUNATE 500UI,FACTEUR VIII DE COAGULATION HUMAINE,500UI/FL. DE PDRE.,0.0
RECOMBINATE 500UI,"OCTOCOG ALFA (FACTEUR VIII RECOMBINANT DE COAGULATION ANTI-
HEMOPHILIQUE)",500UI/FL. DE PDRE.,0.0
KOGENATE,OCTOCOG ALFA (FACTEUR VIII RECOMBINANT DE COAGULATION ANTI-HEMOPHILIQUE),500UI/FL. DE PDRE.,0.0
HAEMOCTIN SDH 500,FACTEUR HUMAIN VIII ANTI HEMOPHILIQUE,500UI,0.0
HEMOREL-A,FACTEUR VIII DE COAGULATION HUMAINE,500UI/FL. DE LYOPH.,0.0
OCTANATE,FACTEUR VIII DE COAGULATION HUMAINE,500UI/FL. DE POUDRE,0.0
PLASMION 3%,"GELATINE FLUIDE
MODIFIEE EXPRIMEE EN","3G / 0,5382G /
0,0305G /",0.0
IMMUNOGLOBULI NE HUMAINE ANTI-D (Rho),IMMUNOGLOBULINE HUMAINE  (ANTI D),250µG/ML,0.0
IMMUNINE 600,FACTEUR IX DE COAGULATION HUMAINE,600UI/FL. DE PDRE.,0.0
BETAFACT,FACTEUR IX DE COAGULATION HUMAINE,50UI/ML (500UI/10ML),0.0
GELOFUSINE,GELATINE FLUIDE MODIFIEE,4% DE  GELATINE,0.0
FEIBA 500U/20ML,"FACTEURS DE
COAGULATION AYANT UNE ACTIVITE COURT-CIRCUITANT L'INHIBITEUR DE",500U°/FL. DE PDRE. (500U°/20ML) U°=UNITE FEIBA,0.0
ADVATE,"OCTOCOG ALFA
(FACTEUR VIII DE COAGULATION HUMAIN RECOMBINANT ANTI-",250UI/FL DE PDRE (50UI/ML),0.0
KOGENATE,"OCTOCOG ALFA
(FACTEUR VIII RECOMBINANT DE COAGULATION ANTI-",250UI/FL. DE PDRE.,0.0
ADVATE,OCTOCOG ALFA (FACTEUR VIII DE COAGULATION HUMAIN RECOMBINANT ANTI-HEMOPHILIQUE),1000UI/FL DE PDRE  (50UI/ML),0.0
KOGENATE,OCTOCOG ALFA (FACTEUR VIII RECOMBINANT DE COAGULATION ANTI-HEMOPHILIQUE),1000UI/FL. DE PDRE.,0.0
NOVOSEVEN,EPTACOG ALFA (ACTIVE),1MG/FL. DE PDRE. (50KUI/FL. DE PDRE.),0.0
NOVOSEVEN,EPTACOG ALFA (ACTIVE),2MG/FL. DE PDRE. (100KUI/FL. DE PDRE.),0.0
NOVOSEVEN,EPTACOG ALFA (ACTIVE),5MG/FL. DE PDRE. (250KUI/FL. DE PDRE.),0.0
HEAMONINE 500,FACTEUR IX DE COAGULATION HUMAINE,500UI/FL. DE PDRE.,0.0
RHOPHYLAC 300,IMMUNOGLOBULINE HUMAINE ANTI-D,150μG/ML (300μG/2ML OU 1500UI/2ML),0.0
WILFACTIN,FACTEUR WILLEBRAND HUMAIN,1000 UI/ 10 ML,0.0
CLOTTAFACT,FIBRINOGENE HUMAIN,"1,5G/100ML",0.0
NOVO EIGHT,"TUROCTOCOG ALFA ( FACTEUR VIII DE CCOAGULATION
HUMAIN ADN r)",250 UI,0.0
NOVO EIGHT,TUROCTOCOG ALFA ( FACTEUR VIII DE CCOAGULATION HUMAIN ADN r),500 UI,0.0
NOVO EIGHT,TUROCTOCOG ALFA ( FACTEUR VIII DE CCOAGULATION HUMAIN ADN r),1000 UI,0.0
ALBUREL,ALBUMINE HUMAINE,20% (20G/100ML),0.0
VOLUVEN 6%,"HYDROXYETHYLAMIDO N 130 000 / CHLORURE
DE SODIUM","6G / 0,9G /
100ML",0.0
GRANOCYTE 34,LENOGRASTIME RHU G-CSF,"33,6 MUI",0.0
HEMAX,EPOETINE ALFA (ERYTHROPOIETINE HUMAINE RECOMBINANTE ),3000UI/FL. DE PDRE.,0.0
REVOLADE,ELTROMBOPAG OLAMINE,25 MG,0.0
REVOLADE,ELTROMBOPAG OLAMINE,50 MG,0.0
ARANESP,DARBEPOETINE ALFA,"25µG/ML (10µG/0,4ML)",0.0
ARANESP,DARBEPOETINE ALFA,"40µG/ML
(20µG/0,5ML)",0.0
ARANESP,DARBEPOETINE ALFA,"100µG/ML
(30µG/0,3ML)",0.0
ARANESP,DARBEPOETINE ALFA,"200µG/ML
(60µG/0,3ML) (80µG/0,4ML)",0.0
ARANESP,DARBEPOETINE ALFA,"500µG/ML
(150µG/0,3ML) (300µG/0,6ML)",0.0
N PLATE,ROMIPLOSTIM,250µG/FL. DE PDRE.,0.0
N PLATE,ROMIPLOSTIM,500µG/FL. DE PDRE.,0.0
NEUPOGEN,FILGRASTIM,300µG,0.0
ZARZIO,FILGRASTIM,300µG,0.0
NEUPOGEN,FILGRASTIM,480µG,0.0
ZARZIO,FILGRASTIM,480µG,0.0
MIACIN,AMIKACINE SULFATE EXPRIME EN AMIKACINE,250MG/ML (500MG/2ML),0.0
LIKACIN,"AMIKACINE SULFATE
EXPRIME EN AMIKACINE","250MG/ML
(500MG/2ML)",0.0
"GENTAMICINE
BIOCHEMIE",GENTAMICINE,40MG/ML,0.0
GENTAXYN,GENTAMICINE SULFATE EXPRIME EN GENTAMICINE,20MG/ML (40MG/2ML),0.0
ULTRAGENT,GENTAMICINE,80MG/2ML,0.0
GENTAMICINE BIOCHEMIE,GENTAMICINE,80MG/2ML,0.0
EPIGENT,GENTAMICINE,80MG/2ML,0.0
GENTAXYN,"GENTAMICINE SULFATE EXPRIME EN
GENTAMICINE",40MG/ML (80MG/2ML),0.0
GENTAL,GENTAMICINE,"40MG/ML  (OU
80MG/2ML)",0.0
GENTAMINE,"GENTAMICINE SULFATE EXPRIME EN
GENTAMICINE",40MG/ML (80MG/2ML),0.0
GENTAMYCINE GEO,GENTAMYCINE,"40MG/ML (OU
80MG/2ML)",0.0
MIACIN,"AMIKACINE SULFATE
EXPRIME EN AMIKACINE","50MG/ML
(100MG/2ML)",0.0
LIKACIN,"AMIKACINE SULFATE
EXPRIME EN AMIKACINE","125MG/ML
(250MG/2ML)",0.0
EREMCINE,TOBRAMYCINE SULFATE EXPRIME EN TOBRAMYCINE,"10MG/ML (25MG/2,5ML)",0.0
EREMCINE,"TOBRAMYCINE SULFATE
EXPRIME EN","50MG/ML
(75MG/1,5ML)",0.0
OSPEXIN,CEFALEXINE,250MG,0.0
CEPHADAR,CEFALEXINE,250MG,0.0
MIDAFLEX,CEFALEXINE,250MG,0.0
CEPHALEX,CEFALEXINE,250MG,0.0
UNILEXIN,CEFALEXINE,250MG,0.0
OSPEXIN,CEFALEXINE,500MG,0.0
KEFORAL,CEFALEXINE,500MG**,0.0
CEFACET Gé,CEFALEXINE,500MG**,0.0
CEPHADAR FORTE,CEFALEXINE,500MG,0.0
LEXIN,CEFALEXINE,500MG,0.0
MIDAFLEX,"CEFALEXINE MONOHYDRATEE EXPRIME EN
CEFALEXINE",500MG**,0.0
RAMOXIN,CEFALEXINE,500MG,0.0
CEPHALEX,CEFALEXINE,500MG,0.0
UNILEXIN,CEFALEXINE,500MG,0.0
LEXINAL,"CEFALEXINE
MONOHYDRATEE",500MG,0.0
LEXINAL,"CEFALEXINE MONOHYDRATEE EXPRIME EN
CEFALEXINE",500MG,0.0
OSPEXIN,CEFALEXINE,125MG/5ML,0.0
CEPHADAR,CEFALEXINE,125MG/5ML,0.0
KEFORAL,CEFALEXINE,125MG/5ML,0.0
RAMOXIN,CEFALEXINE,125MG/5ML,0.0
SEFAZOL,CEFAZOLINE,1G/FL. DE PDRE.,0.0
HIKMA CEFAZOLIN,CEFAZOLINE,1G/FL. DE PDRE.,0.0
NODILOF,"CEFAZOLINE SODIQUE
EXPRIME EN",1G/FL. DE PDRE.,0.0
BACTIZOL,CEFAZOLINE SODIQUE EXPRIME EN CEFAZOLINE,1G/FL,0.0
CEFAZAL,CEFAZOLINE SODIQUE EXPRIME EN CEFAZOLINE,1G/FL. DE PDRE.,0.0
HIKMA CEFAZOLIN,CEFAZOLINE **(SOUS FORME SODIQUE),1G/FL. DE PDRE.,0.0
ZEPILEN,CEFAZOLINE,1G/FL. DE PDRE.,0.0
BACTIZOL,CEFAZOLINE SODIQUE EXPRIME EN CEFAZOLINE,1G/FL,0.0
CEFAZAL,CEFAZOLINE,1G,0.0
CEFAZOL,CEFAZOLINE,"200MG/ML (OU
1G/5ML)",0.0
CLAFOTAX,CEFOTAXIME SODIQUE EXPRIME EN CEFOTAXIME,1G/FL. DE PDRE.,0.0
TRICEF,CEFOTAXIME SODIQUE EXPRIME EN CEFOTAXIME,1G/FL. DE PDRE.,0.0
CEFTAX,CEFOTAXIME,1G,0.0
CEFODEX,CEFOTAXIME SODIQUE EXPRIME EN CEFOTAXIME,1GR/FLACON,0.0
CEFOTAL,CEFOTAXIME SODIQUE,1G/FL. DE PDRE.,0.0
BETAKSIM,CEFOTAXIME,500MG/2ML,0.0
"CEFTRIAXONA
HIKMA","CEFTRIAXONE SODIQUE
EXPRIME EN",1G/FL. DE PDRE.,0.0
OFRAMAX,CEFTRIAXONE,1G,0.0
CEFAXONE,"CEFTRIAXONE SODIQUE
EXPRIME EN","100MG/ML
(1000MG/10ML)",0.0
OSPEXIN,CEFALEXINE,250MG/5ML,0.0
KEFORAL,CEFALEXINE,250MG/5ML,0.0
CEPHADAR FORTE,CEFALEXINE,250MG/5ML,0.0
PHARMEXIN,CEFALEXINE,250MG/5ML,0.0
LEXIN 250,CEFALEXINE,250MG/5ML,0.0
MIDAFLEX,CEFALEXINE,250MG/5ML**,0.0
CEPHALEX,CEFALEXINE,250MG/5ML,0.0
SEFAZOL,CEFAZOLINE,500MG,0.0
"CEFTRIAXONA
HIKMA",CEFTRIAXONE,"500MG/FL. DE
PDRE.",0.0
CEFAZOLINE,CEFAZOLINE,1G,0.0
TABICLOR 375,CEFACLOR,375MG/5ML,0.0
ZEEFRA GE,CEFRADINE,500MG,0.0
CEFIZOX 1000,"CEFTIZOXIME SODIQUE
EXPRIME EN",1G/FL. DE PDRE.,0.0
OROKEN NOUR,CEFIXIME TRIHYDRATE EXPRIME EN CEFIXIME ANHYDRE,40MG/5ML,0.0
OROKEN ENF,CEFIXIME TRIHYDRATE EXPRIME EN CEFIXIME ANHYDRE,100MG/5ML,0.0
CEFIX,CEFIXIME,100MG/5ML,0.0
BETIXIM,CEFIXIME TRIHYDRATE EXPRIME EN CEFIXIME ANHYDRE,"100MG/5ML** (FORME HYDRATEE
117MG/5ML)",0.0
ISIOCEF,CEFIXIME TRIHYDRATE EXPRIME EN CEFIXIME ANHYDRE,200MG,0.0
BETIXIM 200,CEFIXIME TRIHYDRATEE EXPRIME EN CEFIXIME,200MG,0.0
OROKEN,CEFIXIME TRIHYDRATE EXPRIME EN CEFIXIME ANHYDRE,200MG,0.0
OROKAL,CEFIXIME TRIHYDRATEE EXPRIME EN CEFIXIME,200MG,0.0
WINEX,"CEFIXIME TRIHYDRATE
EXPRIME EN CEFIXIME",200MG,0.0
CEFACET Gé,CEFALEXINE MONOHYDRATEE EXPRIME EN CEFALEXINE,250MG**,0.0
CEFIZOX,CEFTIZOXIME,500MG,0.0
ZINNAT,CEFUROXIME** AXETIL,125MG,0.0
DAROXIME,CEFUROXIME AXETIL EXPRIME EN CEFUROXIME,125MG,0.0
ZINNAT,CEFUROXIME AXETIL EXPRIME EN CEFUROXIME,250MG,0.0
CEFROZINE,CEFUROXIME AXETIL EXPRIME EN CEFUROXIME,250MG,0.0
CEFUCARE,"CEFUROXIME AXETIL
CEFUERXOPRXIIME EANXETIL",250MG,0.0
ZINOXIMOR,EXPRIME EN,250MG,0.0
DAROXIME,CEFUROXIME AXETIL EXPRIME EN CEFUROXIME,250MG,0.0
CEFUTIL,CEFUROXIME,250MG,0.0
FORTUM ENF ET NOURR,CEFTAZIDIME,500MG,0.0
CEFTAZIM,"CEFTAZIDIME
PENTAHYDRATE EXPRIME EN","500MG/FL. DE PDRE. (ENFANT ET
NOURRISSON)",0.0
FORTUM,CEFTAZIDIME,1G,0.0
CEFTAZIM,"CEFTAZIDIME PENTAHYDRATE EXPRIME EN
CEFTAZIDIME",1G/FL. DE PDRE. (ADULTE),0.0
CEFIZOX,CEFTIZOXIME,500MG,0.0
LEXIN,CEFALEXINE,1G,0.0
LEXINAL,CEFALEXINE MONOHYDRATEE EXPRIME EN CEFALEXINE,1G,0.0
CEFACET Gé,CEFALEXINE,1G,0.0
ZINNAT,CEFUROXIME AXETIL,125MG/5ML,0.0
CEFIZOX 1000,CEFTIZOXIME**  (SOUS FORME SODIQUE),1G/FL. DE PDRE.**,0.0
HIKMA CEFAZOLIN,CEFAZOLINE SODIQUE EXPRIME EN CEFAZOLINE,500MG/FL. DE PDRE.,0.0
TABICLOR,CEFACLOR,125MG/5ML,0.0
"CLORACEF FORTE
250","CEFACLOR
MONOHYDRATE",250MG/5ML,0.0
DICEF,CEFACLOR MONOHYDRATE EXPRIME EN CAFACLOR,250MG/5ML,0.0
TABICLOR,CEFACLOR,250MG/5ML,0.0
TABICLOR,CEFACLOR,250MG,0.0
CLORACEF FORTE,"CEFACLOR MONOHYDRATE
EXPRIME EN CAFACLOR",500MG,0.0
DICEF,CEFACLOR,500MG,0.0
TABICLOR,CEFACLOR,500MG,0.0
TABICLOR M.R.,CEFACLOR (ANHYDRE)**,750MG**,0.0
BETIXIM,CEFIXIME,400MG,0.0
OROKAL,CEFIXIME TRIHYDRATE,400MG,0.0
WINEX,CEFIXIME,400MG,0.0
CEFROZINE,CEFUROXIME AXETIL EXPRIME EN CEFUROXIME,500MG,0.0
ZINOXIMOR 500,CEFUROXIME AXETIL,500MG,0.0
CEDROX,"CEFADROXIL
MONOHYDRATE EXPRIME EN",1G,0.0
CEDROXAL,"CEFADROXIL
MONOHYDRATE",1G,0.0
ISIOCEF,CEFIXIME,50MG/5ML,0.0
OMNICEF,CEFDINIR,300MG,0.0
OMNIFAL,CEFDINIR,300MG,0.0
OMNICEF,CEFDINIR,125MG/5ML,0.0
PERAZ 1000,"CEFOPERAZONE SODIQUE EXPRIME EN
CEFOPERAZONE",1 000MG/FL. DE PDRE.**,0.0
PERAZ 2000,CEFOPERAZONE SODIQUE EXPRIME EN CEFOPERAZONE,2 000MG/FL. DE PDRE.**,0.0
TIZO 1000,CEFTIZOXIME SODIQUE EXPRIME EN CEFTIZOXIME,1 000MG/FL. DE PDRE.,0.0
CETIZAL,CEFTIZOXIME SODIQUE EXPRIME EN CEFTIZOXIME,1G,0.0
CLORACEF MR,"CEFACLOR
MONOHYDRATE",500MG,0.0
CLORACEF MR,"CEFACLOR
MDOONXOYCHYYCDLRINATEE",750MG,0.0
VIBRAMYCINE,MONOHYDRATEE,100MG,0.0
DOXYLINE,DOXYCYCLINE,100MG,0.0
BIOMYCINE,DOXYCYCLINE,100MG,0.0
DOTUR,DOXYCYCLINE**(SOUS FOPME D'HYCLATE),100MG,0.0
OXYMED,OXYTETRACYCLINE,250MG,0.0
TETRALYSAL,LYMECYCLINE (EXPRIME EN TETRACYCLINE BASE),150MG,0.0
DOXYNUP,"DOXYCYCLINE MONOHYDRATE EXPRIME EN
DOXYCYCLINE",100MG,0.0
LISACLIN,CLINDAMYCINE,600MG,0.0
CLINDAMYL,CLINDAMYCINE,150MG,0.0
CLINARAM,CLINDAMYCINE CHLORHYDRATE EXPRIME EN CLINDAMYCINE,150MG,0.0
ULTRALINC,LINCOMYCINE,600MG,0.0
LINCOSIDE,"LINCOMYCINE** (SOUS
FORME DE","300MG/ML
(600MG/2ML)",0.0
ERYTHROMIL,ERYTHROMYCINE,200MG/5ML,0.0
ERYTHRODAR,ERYTHROMYCINE,200MG/5ML,0.0
MACROLID,ERYTHROMYCINE,200MG/5ML,0.0
ERODAL,ERYTHROMYCINE ETHYLSUCCINATE EXPRIME EN ERYTHROMYCINE,200MG/5ML,0.0
ERYBESAN,ERYTHROMYCINE,200MG/5ML,0.0
EROMYCIN,ERYTHROMYCINE,200MG/5ML,0.0
ERYTHROMIL,ERYTHROMYCINE,500MG,0.0
ERY 500,ERYTHROMYCINE,500MG,0.0
MAROCID,ERYTHROMYCINE,500MG,0.0
ERYBESAN,"ERYTHROMYCINE
STEARATE EXPRIME EN",500MG,0.0
PYOSTACINE,PRISTINAMYCINE,500MG,0.0
SPIRACARE,SPIRAMYCINE,1 500 000UI,0.0
ROVADAL,SPIRAMYCINE,1 500 000UI,0.0
SPIRAMYNAL,SPIRAMYCINE,1 500 000UI,0.0
ROVAMYCINE,SPIRAMYCINE,1 500 000UI,0.0
SPIRA,SPIRAMYCINE,1 500 000UI,0.0
SPIRACARE,SPIRAMYCINE,3 000 000UI,0.0
ROVADAL,SPIRAMYCINE,3 000 000UI,0.0
SPIRAMYNAL,SPIRAMYCINE,3000 000UI,0.0
ROVAMYCINE,SPIRAMYCINE,3 000 000UI,0.0
SPIRA,SPIRAMYCINE,3 000 000UI,0.0
SPIRAMYCINE AFRO,SPIRAMYCINE,"0,375MUI/5ML",0.0
ROVADAL,SPIRAMYCINE,"0,375MUI/5ML",0.0
ZETRON,AZITHROMYCINE DIHYDRATE EXPRIME EN AZITHROMYCINE,250MG,0.0
MYCINAD,AZITHROMYCINE DIHYDRATE EXPRIME E AZITHROMYCINE,250MG,0.0
ZOTRIX,AZITHROMYCINE DIHYDRATE EXPRIME EN AZITHROMYCINE,250MG,0.0
AZIMYCINE,AZITHROMYCINE DIHYDRATEE EXPRIMEE EN AZITHROMYCINE,250MG,0.0
BINOZYT,AZITHROMYCINE DIHYDRATEE EXPRIMEE EN AZITHROMYCINE,250MG,0.0
ZOMAX,AZITHROMYCINE DIHYDRATEE EXPRIMEE EN AZITHROMYCINE,"40MG/ML** (200MG/5ML ET 300MG/7,5ML)**",0.0
ZOTRIX,"AZITHROMYCINE
DIHYDRATE",40MG/ML,0.0
AZIMYCINE,AZITHROMYCINE DIHYDRATEE EXPRIMEE EN AZITHROMYCINE,40MG/ML (200MG/5ML),0.0
BINOZYT,"AZITHROMYCINE
DIHYDRATEE EXPRIMEE","40MG/ML
(200MG/5ML)",0.0
"ROXIBACT
ALEMBIC MAMI",ROXITHROMYCINE,150MG,0.0
ROXAMED,ROXITHROMYCINE,150MG,0.0
ROXITHROMYCIN E HUP,ROXITHROMYCINE,150MG,0.0
ROXID,ROXITHROMYCINE,150MG,0.0
JOSACINE,"JOSAMYCINE PROPIONATE EXPRIME
EN JOSAMYCINE",125MG/5 ML,0.0
JOSACINE,"JOSAMYCINE
PROPIONATE EXPRIME EN JOSAMYCINE",250MG/5ML,0.0
JOSACINE,"JOSAMYCINE
PROPIONATE EXPRIME",500MG /5ML,0.0
JOSACINE,JOSAMYCINE,250MG,0.0
JOSACINE,JOSAMYCINE,500MG,0.0
JOSACINE,JOSAMYCINE,500MG,0.0
ZECLAR,CLARITHROMYCINE,500MG,0.0
CLARIDAR 500,CLARITHROMYCINE,500MG,0.0
ARICLARE,CLARITHROMYCINE,500MG,0.0
RITHRODAL,CLARITHROMYCINE,500MG,0.0
CLARITAL,CLARITHROMYCINE,500MG,0.0
CLARITHROMYCIN E GEO,CLARITHROMYCINE,500MG,0.0
ZECLAR,CLARITHROMYCINE,250MG,0.0
CLARIDAR 250,CLARITHROMYCINE,250MG,0.0
KLAXIN,CLARITHROMYCINE,250MG,0.0
RITHRODAL,CLARITHROMYCINE,250MG,0.0
KETEK,TELITHROMYCINE,400MG,0.0
CLARIDAR 250,CLARITHROMYCINE,250MG/5ML,0.0
ZECLAR 50,CLARITHROMYCINE,250MG/5ML,0.0
RITHRODAL,CLARITHROMYCINE,250MG/5ML,0.0
AZITHROMYCINE BEKER,AZITHROMYCINE DIHYDRATEE EXPRIMEE EN AZITHROMYCINE,500MG,0.0
ZETRON,"AZITHROMYCINE
DIHYDRATE EXPRIME EN AZITHROMYCINE",500MG,0.0
ZOMAX,AZITHROMYCINE DIHYDRATEE EXPRIMEE EN AZITHROMYCINE,500MG,0.0
AZITHROM HUP,"AZITHROMYCINE DIHYDRATEE EXPRIMEE
EN AZITHROMYCINE",500MG,0.0
MYCINAD,"AZITHROMYCINE
DIHYDRATE EXPRIME E AZITHROMYCINE",500MG,0.0
ZITHROMAX,AZITHROMYCINE DIHYDRATEE EXPRIMEE EN AZITHROMYCINE,500MG,0.0
ZOTRIX,AZITHROMYCINE DIHYDRATE EXPRIME EN AZITHROMYCINE,500MG,0.0
"AZITHROMYCINE
NS","AZITHROMYCINE
DIHYDRATE EXPRIME E",500MG,0.0
BINOZYT,"AZITHROMYCINE
DIHYDRATEE EXPRIMEE",500MG,0.0
AZITHRAL,"AZITHROMYCINE
DIHYDRATEE EXPRIMEE",500MG,0.0
OROGYL,"SPIRAMYCINE /
METRONIDAZOLE","750
000UI/125MG",0.0
SPIRADENT,"SPIRAMYCINE /
METRONIDAZOLE","750.
000UI/125MG",0.0
BI-OROGYL,"SPIRAMYCINE /
METRONIDAZOLE","1,5MUI/250MG",0.0
BISPIRADENT,SPIRAMYCINE / METRONIDAZOLE,"1,5MUI/250MG",0.0
BIRODOGYL,"SPIRAMYCINE /
METRONIDAZOLE","1,5MUI/250MG",0.0
METROMYCINE,SPIRAMYCINE / METRONIDAZOLE,"1,5MUI/250MG",0.0
CLARIDAR 125,CLARITHROMYCINE,125MG/5ML,0.0
ZECLAR 25,CLARITHROMYCINE,125MG/5ML,0.0
ZITHRON,"AZITHROMYCINE**
(SOUS FORME MONOHYDRATE",600MG**,0.0
ROVAGYL,"SPIRAMYCINE /
METRONIDAZOLE","1,5MUI/250MG",0.0
RONIDAZ 500,METRONIDAZOLE,500MG,0.0
METRONIDAZOLE BIEFFE MEDITAL,METRONIDAZOLE,"500MG/100ML (
0,5%)",0.0
SUPPLIN,METRONIDAZOLE,500MG,0.0
METRIS,METRONIDAZOLE,500MG,0.0
"METRONIDAZOLE
RAZES 0,5%",METRONIDAZOLE,"5MG/ML
(500MG/100ML)",0.0
BIODAZOLE,METRONIDAZOLE,500MG,0.0
