Nom_Commercial,DCI,Dosage,Prix_DZD
LIDOCAINE-GEO,"LIDOCAINE
CHLORHYDRATE",2%,0.0
"XYLOROLLAND
SANS VASOCONTRICTE",LIDOCAINE CHLORHYDRATE,2%,0.0
KIDOCAINE,LIDOCAINE CHLORHYDRATE,2%,0.0
UNICAINE,"LIDOCAINE
CHLORHYDRATE",2%,0.0
ADRECAINE-GEO,LIDOCAINE CHLORHYDRATE / EPINEPHRINE TARTRATE EXPRIME EN EPINEPHRINE,2% / 1/80000,0.0
XILONIBSA,LIDOCAINE CHLORHYDRATE / ADRENALINE,2%,0.0
XYLOCAINE NAPHAZOLINE,LIDOCAINE/NAPHAZOLI NE,"5% / 0,02%",0.0
"XYLOCAINE
VISQUEUSE",LIDOCAINE VISQUEUSE,2%,0.0
"MEDICAINE 2%
AVEC","MEPIVACAINE
(CHLORHYDRATE) /","2% / 1/100 000
(OU 2G / 0,001G /",0.0
MEDICAINE 3%,MEPIVACAINE,3%,0.0
TRONOTHANE,PRAMOCAINE CHLORHYDRATE,1%,0.0
ANESDERM GE 5%,"LIDOCAINE /
PRILOCAINE","2,5G/2,5G/100G",0.0
XYLOROLLAND AVEC NORADRENALINE,LIDOCAINE CHLORHYDRATE/NORA DRENALINE TARTRATE,"2G/0,00125G/100 ML",0.0
SEPTANEST ADRENALINE 1/100000,ARTICAINE CHLORHYDRATE / ADRENALINE TARTRATE,4G/1MG/100ML,0.0
SEPTANEST ADRENALINE 1/200000,ARTICAINE CHLORHYDRATE / ADRENALINE TARTRATE,"4G/0,5MG/100ML",0.0
BUPIVACAINE MYLAN,BUPIVACAINE CHLORHYDRATE ANHYDRE,5MG/ML,0.0
LISAPAN,PANCURONIUM BROMURE,2MG/ML (4MG/2ML),0.0
NEOVEC,"VECURONIUM
BROMURE","4MG/FL. DE
LYOPH.",0.0
VECURON,VECURONIUM BROMURE,4MG/FL. DE LYOPH.,0.0
ATACURE,ATRACURIUM BESYLATE,10MG/ML (50MG/5ML),0.0
